date,city,count_review,avg_stars,diff_precip,avg_temp
2015-11-19,Las Vegas,1915,3.953,0.0,56.0
2015-11-20,Las Vegas,2010,3.9478,0.0,60.5
2015-11-21,Las Vegas,2570,3.8502,0.0,56.5
2015-11-22,Las Vegas,2520,3.7718,0.0,53.5
2015-11-23,Las Vegas,2565,3.8363,0.0,52.5
2015-11-24,Las Vegas,2305,3.7202,0.0,57.0
2015-11-25,Las Vegas,2400,3.7458,0.0,50.5
2015-11-26,Las Vegas,1685,3.7774,0.0,47.5
2015-11-27,Las Vegas,1920,3.5807,0.0,45.5
2015-11-28,Las Vegas,2520,3.6944,0.0,43.0
2015-11-29,Las Vegas,2880,3.6806,0.0,40.5
2015-11-30,Las Vegas,2660,3.7237,0.0,41.0
2015-12-01,Las Vegas,2175,3.931,0.0,43.5
2015-12-02,Las Vegas,2050,3.878,0.0,46.5
2015-12-03,Las Vegas,1715,3.9563,0.0,47.5
2015-12-04,Las Vegas,1895,3.9551,0.0,48.5
2015-12-05,Las Vegas,2170,3.8456,0.0,49.0
2015-12-06,Las Vegas,2175,3.8437,0.0,48.5
2015-12-07,Las Vegas,2055,3.8273,0.0,50.5
2015-12-08,Las Vegas,1940,3.8608,0.0,52.5
2015-12-09,Las Vegas,2025,3.9037,0.0,52.0
2015-12-10,Las Vegas,2020,3.8441,0.0,54.5
2015-12-11,Las Vegas,1715,3.8834,0.0,52.0
2015-12-12,Las Vegas,1810,3.7762,0.0,50.0
2015-12-13,Las Vegas,2320,3.8341,0.0,48.5
2015-12-14,Las Vegas,2120,3.684,0.0,46.0
2015-12-15,Las Vegas,2045,3.9022,0.0,44.0
2015-12-16,Las Vegas,1895,3.7071,0.0,41.5
2015-12-17,Las Vegas,2140,3.7921,0.0,40.0
2015-12-18,Las Vegas,1770,3.9209,0.0,43.0
2015-12-19,Las Vegas,1995,3.7945,0.0,44.5
2015-12-20,Las Vegas,2290,3.7162,0.0,45.5
2015-12-21,Las Vegas,2225,3.5618,0.0,43.0
2015-12-22,Las Vegas,2245,3.7728,0.0,52.5
2015-12-23,Las Vegas,2260,3.6814,0.0,49.5
2015-12-24,Las Vegas,2260,3.7146,0.0,49.0
2015-12-25,Las Vegas,2015,3.4888,0.02,42.5
2015-12-26,Las Vegas,2670,3.4026,0.0,42.0
2015-12-27,Las Vegas,3525,3.6142,0.0,36.5
2015-12-28,Las Vegas,3365,3.5097,0.0,37.5
2015-12-29,Las Vegas,3490,3.6304,0.0,41.5
2015-12-30,Las Vegas,3265,3.6493,0.0,38.0
2015-12-31,Las Vegas,3265,3.7917,0.0,41.5
2016-01-01,Las Vegas,2675,3.6262,0.0,39.0
2016-01-02,Las Vegas,3535,3.6223,0.0,43.5
2016-01-03,Las Vegas,3330,3.7462,0.0,47.5
