date,precipitation,precipitation_normal
19750130,T,0.84
19750131,0.02,0.87
19750201,0.02,0.90
19750202,0.02,0.92
19750203,0.02,0.95
19750204,0.03,0.97
19750205,0.03,1.00
19750206,0.03,1.02
19750207,0.03,1.05
19750208,0.03,1.08
19750209,0.03,1.10
19750210,0.03,1.13
19750211,0.03,1.16
19750212,0.03,1.18
19750213,0.03,1.21
19750214,0.29,1.24
19750215,0.30,1.28
19750216,0.30,1.31
19750217,0.35,1.34
19750218,0.35,1.37
19750219,0.35,1.40
19750220,0.35,1.44
19750221,0.35,1.48
19750222,0.35,1.52
19750223,0.35,1.55
19750224,0.35,1.59
19750225,0.35,1.63
19750226,0.35,1.66
19750227,0.35,1.70
19750228,0.35,1.74
19750301,0.35,1.78
19750302,0.35,1.81
19750303,0.35,1.85
19750304,0.35,1.88
19750305,0.35,1.92
19750306,0.35,1.95
19750307,0.35,1.98
19750308,0.52,2.01
19750309,0.52,2.04
19750310,0.52,2.07
19750311,0.77,2.10
19750312,0.77,2.13
19750313,0.77,2.17
19750314,0.95,2.20
19750315,0.95,2.22
19750316,0.95,2.25
19750317,0.95,2.28
19750318,0.95,2.31
19750319,0.95,2.33
19750320,0.95,2.36
19750321,0.95,2.38
19750322,0.95,2.41
19750323,0.95,2.43
19750324,0.95,2.45
19750325,0.95,2.47
19750326,0.98,2.49
19750327,0.98,2.50
19750328,0.98,2.52
19750329,0.98,2.54
19750330,0.98,2.55
19750331,0.98,2.57
19750401,0.98,2.58
19750402,0.98,2.60
19750403,0.98,2.61
19750404,0.98,2.63
19750405,0.98,2.64
19750406,1.20,2.65
19750407,1.22,2.67
19750408,1.22,2.68
19750409,1.41,2.69
19750410,1.41,2.70
19750411,1.41,2.71
19750412,1.41,2.72
19750413,1.41,2.73
19750414,1.41,2.73
19750415,1.41,2.74
19750416,1.41,2.75
19750417,1.41,2.75
19750418,1.41,2.76
19750419,1.41,2.76
19750420,1.41,2.76
19750421,1.41,2.77
19750422,1.41,2.77
19750423,1.41,2.77
19750424,1.41,2.78
19750425,1.41,2.78
19750426,1.41,2.78
19750427,1.41,2.78
19750428,1.41,2.79
19750429,1.41,2.79
19750430,1.41,2.79
19750501,1.41,2.79
19750502,1.41,2.80
19750503,1.41,2.80
19750504,1.41,2.80
19750505,1.41,2.81
19750506,1.41,2.81
19750507,1.41,2.81
19750508,1.41,2.82
19750509,1.41,2.82
19750510,1.41,2.83
19750511,1.41,2.83
19750512,1.41,2.84
19750513,1.41,2.84
19750514,1.41,2.85
19750515,1.41,2.85
19750516,1.41,2.86
19750517,1.41,2.86
19750518,1.41,2.87
19750519,1.41,2.87
19750520,1.41,2.88
19750521,1.41,2.88
19750522,1.41,2.88
19750523,1.41,2.89
19750524,1.41,2.89
19750525,1.41,2.90
19750526,1.41,2.90
19750527,1.41,2.91
19750528,1.41,2.91
19750529,1.41,2.91
19750530,1.41,2.92
19750531,1.41,2.92
19750601,1.41,2.92
19750602,1.41,2.92
19750603,1.41,2.92
19750604,1.41,2.92
19750605,1.41,2.92
19750606,1.41,2.92
19750607,1.41,2.92
19750608,1.41,2.92
19750609,1.41,2.92
19750610,1.41,2.92
19750611,1.41,2.92
19750612,1.41,2.92
19750613,1.41,2.92
19750614,1.41,2.92
19750615,1.41,2.92
