date,min,max,normal_min,normal_max
20051126,43.0,62.0,41.6,61.6
20051127,37.0,52.0,41.3,61.2
20051128,32.0,50.0,41.0,60.7
20051129,35.0,54.0,40.7,60.3
20051130,35.0,58.0,40.4,59.9
20051201,40.0,61.0,40.1,59.5
20051202,53.0,71.0,39.8,59.1
20051203,42.0,57.0,39.5,58.7
20051204,38.0,52.0,39.3,58.3
20051205,33.0,52.0,39.1,58.0
20051206,34.0,56.0,38.8,57.7
20051207,34.0,52.0,38.6,57.3
20051208,35.0,51.0,38.4,57.1
20051209,34.0,54.0,38.3,56.8
20051210,35.0,60.0,38.1,56.5
20051211,36.0,59.0,38.0,56.3
20051212,35.0,57.0,37.8,56.1
20051213,34.0,60.0,37.7,55.9
20051214,34.0,55.0,37.6,55.8
20051215,34.0,52.0,37.5,55.6
20051216,30.0,51.0,37.5,55.5
20051217,27.0,47.0,37.4,55.4
20051218,38.0,49.0,37.4,55.3
20051219,38.0,55.0,37.3,55.3
20051220,37.0,61.0,37.3,55.2
20051221,41.0,65.0,37.3,55.2
20051222,45.0,62.0,37.3,55.2
20051223,45.0,69.0,37.3,55.2
20051224,47.0,70.0,37.4,55.3
20051225,42.0,64.0,37.4,55.3
20051226,48.0,67.0,37.5,55.4
20051227,42.0,59.0,37.5,55.4
20051228,40.0,53.0,37.6,55.5
20051229,38.0,62.0,37.7,55.6
20051230,37.0,56.0,37.7,55.7
20051231,42.0,64.0,37.8,55.8
20060101,40.0,55.0,37.9,56.0
20060102,44.0,63.0,38.0,56.1
20060103,41.0,60.0,38.1,56.2
20060104,42.0,65.0,38.2,56.4
20060105,44.0,66.0,38.3,56.5
20060106,41.0,66.0,38.4,56.7
20060107,38.0,69.0,38.5,56.8
20060108,41.0,66.0,38.6,56.9
20060109,40.0,57.0,38.7,57.1
20060110,34.0,58.0,38.9,57.2
20060111,33.0,56.0,39.0,57.4
20060112,37.0,60.0,39.1,57.5
20060113,37.0,62.0,39.2,57.7
20060114,42.0,64.0,39.3,57.8
20060115,37.0,56.0,39.4,58.0
20060116,36.0,52.0,39.5,58.1
20060117,32.0,54.0,39.6,58.2
20060118,34.0,65.0,39.6,58.3
20060119,43.0,56.0,39.7,58.5
20060120,37.0,52.0,39.8,58.6
20060121,31.0,57.0,39.9,58.7
20060122,36.0,57.0,40.0,58.8
20060123,41.0,60.0,40.1,58.9
20060124,40.0,60.0,40.2,59.1
20060125,36.0,63.0,40.2,59.2
20060126,39.0,61.0,40.3,59.3
20060127,45.0,60.0,40.4,59.4
20060128,40.0,54.0,40.5,59.5
20060129,36.0,60.0,40.6,59.6
20060130,38.0,63.0,40.7,59.7
20060131,48.0,66.0,40.8,59.8
20060201,48.0,68.0,40.8,60.0
20060202,44.0,71.0,40.9,60.1
20060203,45.0,68.0,41.0,60.2
20060204,41.0,65.0,41.1,60.3
20060205,44.0,65.0,41.2,60.5
20060206,37.0,61.0,41.4,60.6
20060207,37.0,67.0,41.5,60.8
20060208,43.0,73.0,41.6,60.9
20060209,43.0,76.0,41.7,61.1
20060210,48.0,71.0,41.9,61.3
20060211,39.0,63.0,42.0,61.4
20060212,38.0,65.0,42.1,61.6
20060213,43.0,70.0,42.3,61.8
20060214,43.0,64.0,42.4,62.0
20060215,43.0,61.0,42.6,62.2
20060216,35.0,48.0,42.8,62.5
20060217,34.0,58.0,42.9,62.7
20060218,43.0,54.0,43.1,62.9
20060219,39.0,49.0,43.3,63.2
20060220,37.0,53.0,43.5,63.4
20060221,36.0,56.0,43.7,63.7
20060222,41.0,62.0,43.9,64.0
20060223,42.0,68.0,44.1,64.3
20060224,43.0,71.0,44.3,64.5
20060225,41.0,70.0,44.5,64.8
20060226,47.0,70.0,44.7,65.1
20060227,48.0,74.0,44.9,65.4
20060228,50.0,67.0,45.2,65.8
20060301,47.0,65.0,45.4,66.1
